pool_id,type,question,option_a,option_b,option_c,option_d,correct,script,passage,difficulty
L032,listening,What does the woman suggest they do about the situation?,Ignore it completely,Report it to authorities,Handle it internally,Postpone the decision,2,Woman: I don't think we need to involve anyone outside the company. We can resolve this among ourselves if we communicate properly.,,medium
L033,listening,What does the man ask the woman to prepare?,A financial summary,A list of attendees,A presentation slide,A draft contract,0,"Man: Before the board meeting on Thursday, I need you to compile the quarterly financial summary for the past three months.",,medium
L034,listening,What can be inferred about the company?,It is expanding rapidly,It recently lost a client,It is facing a budget cut,It hired many new employees,2,Woman: We've been asked to reduce spending in every department. Even business travel has been restricted unless absolutely necessary.,,medium
L035,listening,What does the speaker say about the training program?,It is mandatory for all staff,It has been postponed,It was very effective,It will be conducted online,3,"Speaker: Due to recent developments, this year's training will be delivered entirely online through our learning management system.",,medium
L036,listening,What is the relationship between the two speakers?,Classmates,Colleagues,Doctor and patient,Shopkeeper and customer,1,"Man: Did you review the proposal I sent yesterday? Woman: Yes, I made some comments. Let's go through them together at the office.",,medium
L037,listening,What does the woman want to know?,The price of a product,The store's return policy,The opening hours,The location of the store,1,Woman: I purchased this item last week and it stopped working. I wanted to ask — what is your policy on returning defective products?,,medium
L038,listening,How does the man feel about the job offer?,He is very enthusiastic,He is undecided,He has rejected it,He has already accepted it,1,"Man: The salary is good, but the commute would be two hours each way. I'm still weighing the pros and cons before making a decision.",,medium
L039,listening,What is the purpose of the phone call?,To reschedule a delivery,To track an order,To place a new order,To file a complaint,0,"Woman: Hello, I have a delivery scheduled for tomorrow morning, but something came up. Is it possible to move it to the afternoon instead?",,medium
L040,listening,What does the announcement say about the flight?,It has been cancelled,It is boarding now,It has been delayed,It has landed early,2,Announcement: We regret to inform passengers of flight GA-217 to Bali that the flight will be delayed by approximately ninety minutes due to weather conditions.,,medium
L041,listening,What does the man imply by saying 'That ship has sailed'?,The deadline has passed,The project was cancelled,The meeting was moved,The team has left,0,Man: I wish we had addressed this problem earlier. But that ship has sailed — we'll have to deal with the consequences now.,,hard
L042,listening,What can be concluded from the conversation?,The merger was successful,The negotiations have broken down,The deal is still being reviewed,Both parties are satisfied,1,Woman: We haven't been able to agree on the terms even after six rounds of discussion. Man: I know. It looks like we may have to walk away from this deal entirely.,,hard
L043,listening,What is the underlying message of the speaker's talk?,Technology is replacing human workers,Innovation requires collaboration,Remote work reduces productivity,Management skills are outdated,1,Speaker: No breakthrough has ever been achieved by a single person working in isolation. History shows us time and again that the most transformative ideas emerge when diverse minds come together with a shared purpose.,,hard
L044,listening,What does the woman mean when she says 'It's not rocket science'?,The task is very simple,The task requires expertise,Science is not involved,The instructions are unclear,0,Woman: I don't understand why the team is struggling with this. The process has been documented step by step — it's not rocket science.,,hard
L045,listening,What concern does the man raise about the proposal?,The timeline is unrealistic,The budget is insufficient,The team lacks experience,The market is too competitive,0,"Man: I appreciate the ambition here, but I'm skeptical. Completing all of these milestones within four months seems extremely optimistic given our current resources.",,hard
L046,listening,What is the speaker's main argument?,Urban planning needs reform,Public transport is inefficient,Green spaces improve mental health,Housing prices are rising,2,Speaker: Studies consistently demonstrate that people living near parks and natural environments report significantly lower levels of stress and higher overall life satisfaction.,,hard
L047,listening,What does the woman imply about her supervisor?,He micromanages his team,He delegates too much,He is rarely available,He shows favouritism,0,Woman: He reviews every single email I send before it goes out. Sometimes I feel like he doesn't trust me to handle even minor communications independently.,,hard
L048,listening,What does the conversation reveal about company culture?,Employees rarely receive feedback,The hierarchy is very flat,Work-life balance is prioritized,Competition among staff is high,2,Man: They actually encourage people to leave at five. Nobody expects you to stay late unless there's a real emergency. Woman: That's incredibly rare in this industry.,,hard
L049,listening,What strategy does the woman propose to address declining sales?,Cutting prices across the board,Launching a loyalty rewards program,Increasing the advertising budget,Entering a new market segment,1,"Woman: Rather than just reducing prices, I think we should focus on retaining existing customers through a well-designed loyalty program that rewards repeat purchases.",,hard
L050,listening,What does the professor suggest about the research methodology?,It lacks sufficient data,It relies too heavily on surveys,It needs a control group,It should use qualitative methods,2,"Professor: Your findings are interesting, but without a proper control group, it's difficult to attribute the results solely to the variable you're testing. You need to account for confounding factors.",,hard
L051,listening,What issue does the speaker raise about the new regulation?,It is too vague to enforce,It places too much burden on small businesses,It contradicts existing laws,It was passed without public consultation,1,"Speaker: While the intention behind this regulation is sound, the compliance costs are particularly problematic for smaller enterprises that don't have the resources of larger corporations.",,hard
L052,listening,What does the man mean when he says the decision was 'a double-edged sword'?,The decision was made by two people,The decision has both benefits and drawbacks,The decision was difficult to implement,The decision reversed a previous policy,1,"Man: Expanding into that market was really a double-edged sword. We gained significant revenue, but we also took on risks that are now proving very difficult to manage.",,hard
L053,listening,What can be inferred about the research findings?,They support the original hypothesis,They are consistent with previous studies,They challenge widely accepted assumptions,They require further peer review,2,"Researcher: These results are quite surprising. They directly contradict what the field has generally accepted for the past two decades, which means we need to completely rethink our models.",,hard
L054,listening,What does the woman suggest about the team's communication?,Meetings are too frequent,Emails are being overlooked,Information is not shared transparently,Feedback is overly critical,2,"Woman: The problem is that different departments are making decisions without informing each other. There's a serious lack of transparency, and it's causing unnecessary duplication of effort.",,hard
L055,listening,What is the speaker's attitude toward the current education system?,Fully supportive,Cautiously optimistic,Strongly critical,Completely indifferent,2,Speaker: The system continues to prioritize rote memorization over critical thinking. We are producing graduates who can recite facts but struggle profoundly when asked to solve real-world problems.,,hard
L056,listening,What does the man suggest could be a long-term consequence of the decision?,A decrease in employee morale,Loss of key partnerships,A shift in company culture,A reduction in product quality,2,"Man: If we keep restructuring the organization like this every two years, people will lose a sense of stability. Eventually it will fundamentally alter how people identify with the company and its values.",,hard
L057,listening,How does the woman respond to the criticism?,She dismisses it entirely,She partially agrees with it,She becomes defensive,She redirects the conversation,1,"Woman: Some of those points are valid — I'll admit the timeline was overly ambitious. However, I do think the core strategy was sound, even if the execution could have been better.",,hard
L058,listening,What does the consultant imply about the company's future?,It will grow steadily,It faces significant risk,It should consider merging,It is in a stable position,1,"Consultant: Based on the data I've reviewed, if the company continues on its current trajectory without making strategic adjustments, it will be in a very precarious position within eighteen months.",,hard
L059,listening,What distinction does the speaker draw between leadership and management?,"Leaders are born, managers are trained","Leadership focuses on vision, management on execution","Managers deal with people, leaders deal with strategy","Leadership is long-term, management is reactive",1,"Speaker: Management is about ensuring the right processes are followed and targets are met. Leadership, on the other hand, is about inspiring people toward a future that doesn't yet exist.",,hard
L060,listening,What does the woman ultimately conclude about the situation?,Immediate action is needed,The situation will resolve itself,External help should be sought,The root cause must be identified first,3,"Woman: We keep addressing the symptoms rather than looking at what's actually causing this. Until we properly diagnose the root of the problem, nothing we do will have a lasting effect.",,hard
S001,structure,She ___ English for five years before she moved to London.,studies,studied,has studied,had studied,3,,,easy
S002,structure,The train ___ when we arrived at the station.,already left,has already left,had already left,already leaves,2,,,easy
S003,structure,"By the time the exam starts, I ___ all the chapters.",will review,review,will have reviewed,have reviewed,2,,,easy
S004,structure,He ___ in this company since 2015.,works,is working,has been working,worked,2,,,easy
S005,structure,Water ___ at 100 degrees Celsius.,boils,is boiling,has boiled,boiled,0,,,easy
S006,structure,"When I got home, my mother ___ dinner.",cooks,cooked,was cooking,has cooked,2,,,easy
S007,structure,They ___ the project by the end of this month.,finish,finished,will finish,are finishing,2,,,easy
S008,structure,I ___ to the cinema three times this week.,go,went,have gone,had gone,2,,,easy
S009,structure,She realized she ___ her keys at home.,leaves,left,has left,had left,3,,,easy
S010,structure,"Every morning, he ___ up at six and ___ for a run.",wakes / goes,woke / went,has woken / goes,wakes / went,0,,,easy
S011,structure,The scientists ___ on this research for over a decade before the breakthrough.,work,worked,have worked,had been working,3,,,easy
S012,structure,"By next year, she ___ her PhD.",completes,will complete,will have completed,has completed,2,,,easy
S013,structure,I ___ her since we were children.,know,knew,have known,had known,2,,,easy
S014,structure,The package ___ tomorrow morning.,arrives,arrived,will arrive,has arrived,2,,,easy
S015,structure,"While she ___ a book, the phone rang.",reads,read,was reading,has read,2,,,easy
S016,structure,The new bridge ___ by the government last year.,built,was built,has built,is built,1,,,easy
S017,structure,The report ___ by the manager before the meeting.,is reviewing,will review,must be reviewed,reviews,2,,,easy
S018,structure,A new policy ___ by the board next week.,will announce,is announced,will be announced,announced,2,,,easy
S019,structure,The injured players ___ to the hospital immediately.,took,was taken,were taken,are taking,2,,,easy
S020,structure,English ___ as an official language in many countries.,spoken,speaks,is spoken,has spoken,2,,,easy
S021,structure,The essay should ___ before the deadline.,submit,be submitted,submitted,submitting,1,,,medium
S022,structure,The new software ___ by the IT team at the moment.,is being installed,installs,is installing,has installed,0,,,medium
S023,structure,The criminal ___ by the police last night.,arrested,was arrested,has arrested,were arrested,1,,,medium
S024,structure,The product ___ to more than fifty countries every year.,is exported,exports,exported,has exported,0,,,medium
S025,structure,It is believed that the ancient city ___ around 3000 BC.,founded,has founded,was founded,is founding,2,,,medium
S026,structure,"If I ___ rich, I would travel around the world.",am,was,were,had been,2,,,medium
S027,structure,"If you heat water to 100°C, it ___.",boils,would boil,boiled,will have boiled,0,,,medium
S028,structure,She ___ the job if she had arrived on time.,gets,got,would get,would have gotten,3,,,medium
S029,structure,"If it rains tomorrow, we ___ the picnic.",cancel,cancelled,will cancel,would cancel,2,,,medium
S030,structure,"Had he studied harder, he ___ the exam.",passes,would pass,would have passed,had passed,2,,,medium
S031,structure,"If I were you, I ___ that offer immediately.",accept,accepted,will accept,would accept,3,,,medium
S032,structure,She could speak French fluently if she ___ it every day.,practice,practiced,had practiced,will practice,1,,,medium
S033,structure,We would have arrived on time if the traffic ___ so heavy.,isn't,wasn't,hadn't been,wouldn't be,2,,,medium
S034,structure,"If he works harder, he ___ promoted.",will get,would get,had gotten,gets,0,,,medium
S035,structure,"Unless you ___ now, you will miss the flight.",leave,left,will leave,would leave,0,,,medium
S036,structure,The woman ___ is standing over there is my professor.,which,whose,who,whom,2,,,medium
S037,structure,The book ___ I borrowed from the library was fascinating.,who,whom,which,whose,2,,,medium
S038,structure,The student ___ father is a doctor won the scholarship.,who,whose,which,that,1,,,medium
S039,structure,This is the city ___ I was born.,which,where,who,that,1,,,medium
S040,structure,The man ___ I spoke to yesterday is the new director.,who,which,whom,whose,2,,,medium
S041,structure,The reason ___ she left the job is still unknown.,which,why,when,where,1,,,hard
S042,structure,This is the moment ___ everything changed.,where,whose,when,which,2,,,hard
S043,structure,The company ___ products are sold worldwide is based in Germany.,which,who,whose,that,2,,,hard
S044,structure,Neither the students nor the teacher ___ present at the meeting.,were,was,are,have been,1,,,hard
S045,structure,The news ___ shocking to everyone in the room.,were,are,was,have been,2,,,hard
S046,structure,Everyone in both classes ___ required to submit the assignment.,are,were,is,have been,2,,,hard
S047,structure,A number of students ___ absent because of the holiday.,was,is,were,has been,2,,,hard
S048,structure,The committee ___ unable to reach a decision yesterday.,were,is,was,are,2,,,hard
S049,structure,Each of the participants ___ given a certificate.,were,are,was,have been,2,,,hard
S050,structure,She is looking forward to ___ her family during the holidays.,see,sees,seeing,have seen,2,,,hard
S051,structure,He refused ___ the contract without consulting his lawyer.,sign,signing,to sign,having signed,2,,,hard
S052,structure,You ___ see a doctor. That cough sounds serious.,should,would,might,could,0,,,hard
S053,structure,She ___ have forgotten the meeting — she never misses one.,can't,must,should,would,0,,,hard
S054,structure,"The more you practice, ___ you become.",good,better,the better,the best,2,,,hard
S055,structure,"Not only ___ he finish the project, but he also exceeded expectations.",he did,did he,does he,had he,1,,,hard
S056,structure,It is essential that every employee ___ the safety guidelines.,follows,follow,followed,following,1,,,hard
S057,structure,I ___ rather stay home than go to that party.,will,would,should,must,1,,,hard
S058,structure,"The CEO, along with her senior advisors, ___ attending the summit.",are,were,is,have been,2,,,hard
S059,structure,Hardly ___ sat down when the fire alarm went off.,I had,had I,I have,have I,1,,,hard
S060,structure,She suggested ___ the meeting to the following week.,to postpone,postponing,postpone,postponed,1,,,hard
R001,reading,What is the main purpose of this passage?,To describe the biodiversity of the Amazon,To discuss threats to the Amazon and conservation efforts,To explain how the Amazon produces oxygen,To compare deforestation rates in different countries,1,,"The Amazon rainforest, often called the 'lungs of the Earth,' produces approximately 20% of the world's oxygen and is home to more than 10% of all species on the planet. Despite its vital importance, the Amazon has been facing unprecedented deforestation rates. Between 2019 and 2021, the region lost millions of hectares of forest due to agricultural expansion, illegal logging, and land clearing for cattle ranching. Scientists warn that if deforestation continues at this pace, the Amazon could reach a tipping point — a moment where the forest can no longer sustain itself and begins to degrade irreversibly. Conservation organizations and governments are working to establish protected areas, enforce environmental regulations, and promote sustainable land use practices to prevent this catastrophe.",easy
R002,reading,"According to the passage, what percentage of the world's species live in the Amazon?",More than 20%,Exactly 10%,More than 10%,Approximately 5%,2,,"The Amazon rainforest, often called the 'lungs of the Earth,' produces approximately 20% of the world's oxygen and is home to more than 10% of all species on the planet. Despite its vital importance, the Amazon has been facing unprecedented deforestation rates. Between 2019 and 2021, the region lost millions of hectares of forest due to agricultural expansion, illegal logging, and land clearing for cattle ranching. Scientists warn that if deforestation continues at this pace, the Amazon could reach a tipping point — a moment where the forest can no longer sustain itself and begins to degrade irreversibly. Conservation organizations and governments are working to establish protected areas, enforce environmental regulations, and promote sustainable land use practices to prevent this catastrophe.",easy
R003,reading,What does the term 'tipping point' refer to in the passage?,A moment of rapid economic growth,The point at which deforestation becomes irreversible,The peak of biodiversity in the forest,The maximum capacity for oxygen production,1,,"The Amazon rainforest, often called the 'lungs of the Earth,' produces approximately 20% of the world's oxygen and is home to more than 10% of all species on the planet. Despite its vital importance, the Amazon has been facing unprecedented deforestation rates. Between 2019 and 2021, the region lost millions of hectares of forest due to agricultural expansion, illegal logging, and land clearing for cattle ranching. Scientists warn that if deforestation continues at this pace, the Amazon could reach a tipping point — a moment where the forest can no longer sustain itself and begins to degrade irreversibly. Conservation organizations and governments are working to establish protected areas, enforce environmental regulations, and promote sustainable land use practices to prevent this catastrophe.",easy
R004,reading,Which of the following is NOT mentioned as a cause of deforestation?,Agricultural expansion,Illegal logging,Mining operations,Cattle ranching,2,,"The Amazon rainforest, often called the 'lungs of the Earth,' produces approximately 20% of the world's oxygen and is home to more than 10% of all species on the planet. Despite its vital importance, the Amazon has been facing unprecedented deforestation rates. Between 2019 and 2021, the region lost millions of hectares of forest due to agricultural expansion, illegal logging, and land clearing for cattle ranching. Scientists warn that if deforestation continues at this pace, the Amazon could reach a tipping point — a moment where the forest can no longer sustain itself and begins to degrade irreversibly. Conservation organizations and governments are working to establish protected areas, enforce environmental regulations, and promote sustainable land use practices to prevent this catastrophe.",easy
R005,reading,What can be inferred about the current state of the Amazon?,It has already passed its tipping point,It is under serious environmental threat,Conservation efforts have been completely successful,Deforestation rates have recently decreased,1,,"The Amazon rainforest, often called the 'lungs of the Earth,' produces approximately 20% of the world's oxygen and is home to more than 10% of all species on the planet. Despite its vital importance, the Amazon has been facing unprecedented deforestation rates. Between 2019 and 2021, the region lost millions of hectares of forest due to agricultural expansion, illegal logging, and land clearing for cattle ranching. Scientists warn that if deforestation continues at this pace, the Amazon could reach a tipping point — a moment where the forest can no longer sustain itself and begins to degrade irreversibly. Conservation organizations and governments are working to establish protected areas, enforce environmental regulations, and promote sustainable land use practices to prevent this catastrophe.",easy
R006,reading,What is the passage primarily about?,The history of remote work,The impact of the pandemic on employment,The rise and challenges of remote work,Why companies prefer in-office work,2,,"Remote work, once considered a temporary measure during the pandemic, has now become a permanent feature of the modern workplace. A 2023 survey found that more than 58% of knowledge workers in developed economies work remotely at least part of the time. Proponents argue that remote work increases employee satisfaction, reduces commuting time, and allows companies to recruit talent from a global pool. However, critics point to challenges such as difficulty in collaboration, feelings of isolation among employees, and the blurring of boundaries between work and personal life. To address these issues, many organizations are adopting hybrid models that combine in-office and remote work, aiming to capture the benefits of both while minimizing the downsides.",easy
R007,reading,"According to the survey mentioned, what percentage of knowledge workers work remotely at least part of the time?",More than 68%,Less than 50%,More than 58%,Exactly 58%,2,,"Remote work, once considered a temporary measure during the pandemic, has now become a permanent feature of the modern workplace. A 2023 survey found that more than 58% of knowledge workers in developed economies work remotely at least part of the time. Proponents argue that remote work increases employee satisfaction, reduces commuting time, and allows companies to recruit talent from a global pool. However, critics point to challenges such as difficulty in collaboration, feelings of isolation among employees, and the blurring of boundaries between work and personal life. To address these issues, many organizations are adopting hybrid models that combine in-office and remote work, aiming to capture the benefits of both while minimizing the downsides.",easy
R008,reading,Which of the following is listed as a benefit of remote work?,Better collaboration,Access to global talent,Clearer work-life boundaries,Improved mental health,1,,"Remote work, once considered a temporary measure during the pandemic, has now become a permanent feature of the modern workplace. A 2023 survey found that more than 58% of knowledge workers in developed economies work remotely at least part of the time. Proponents argue that remote work increases employee satisfaction, reduces commuting time, and allows companies to recruit talent from a global pool. However, critics point to challenges such as difficulty in collaboration, feelings of isolation among employees, and the blurring of boundaries between work and personal life. To address these issues, many organizations are adopting hybrid models that combine in-office and remote work, aiming to capture the benefits of both while minimizing the downsides.",easy
R009,reading,What is a 'hybrid model' as described in the passage?,A combination of full-time and part-time work,A mix of remote and in-office work,A system using both technology and manual processes,An approach combining freelance and permanent employment,1,,"Remote work, once considered a temporary measure during the pandemic, has now become a permanent feature of the modern workplace. A 2023 survey found that more than 58% of knowledge workers in developed economies work remotely at least part of the time. Proponents argue that remote work increases employee satisfaction, reduces commuting time, and allows companies to recruit talent from a global pool. However, critics point to challenges such as difficulty in collaboration, feelings of isolation among employees, and the blurring of boundaries between work and personal life. To address these issues, many organizations are adopting hybrid models that combine in-office and remote work, aiming to capture the benefits of both while minimizing the downsides.",easy
R010,reading,What does the word 'proponents' mean in the context of the passage?,Critics,Researchers,Supporters,Employers,2,,"Remote work, once considered a temporary measure during the pandemic, has now become a permanent feature of the modern workplace. A 2023 survey found that more than 58% of knowledge workers in developed economies work remotely at least part of the time. Proponents argue that remote work increases employee satisfaction, reduces commuting time, and allows companies to recruit talent from a global pool. However, critics point to challenges such as difficulty in collaboration, feelings of isolation among employees, and the blurring of boundaries between work and personal life. To address these issues, many organizations are adopting hybrid models that combine in-office and remote work, aiming to capture the benefits of both while minimizing the downsides.",easy
R011,reading,What is the central theme of the passage?,The history of artificial intelligence,AI's applications and ethical concerns,How AI is used in the financial industry,The dangers of machine learning,1,,"Artificial intelligence is transforming numerous industries, from healthcare to finance. In medicine, AI algorithms can now analyze medical images with accuracy comparable to experienced radiologists, enabling earlier and more precise diagnoses of conditions such as cancer and heart disease. In the financial sector, AI-powered systems detect fraudulent transactions in real time by identifying unusual patterns in millions of data points simultaneously. Despite these advancements, concerns persist about ethical issues — particularly algorithmic bias, where AI systems may produce outcomes that inadvertently discriminate against certain groups. Experts emphasize that responsible AI development must involve transparency, diverse training data, and rigorous human oversight to ensure that these powerful tools benefit all of society equitably.",medium
R012,reading,"According to the passage, how does AI assist in medicine?",By replacing doctors in surgery,By managing patient records,By analyzing medical images for diagnosis,By developing new medications,2,,"Artificial intelligence is transforming numerous industries, from healthcare to finance. In medicine, AI algorithms can now analyze medical images with accuracy comparable to experienced radiologists, enabling earlier and more precise diagnoses of conditions such as cancer and heart disease. In the financial sector, AI-powered systems detect fraudulent transactions in real time by identifying unusual patterns in millions of data points simultaneously. Despite these advancements, concerns persist about ethical issues — particularly algorithmic bias, where AI systems may produce outcomes that inadvertently discriminate against certain groups. Experts emphasize that responsible AI development must involve transparency, diverse training data, and rigorous human oversight to ensure that these powerful tools benefit all of society equitably.",medium
R013,reading,What is 'algorithmic bias' as mentioned in the passage?,A preference for certain AI companies,Errors caused by computer hardware,AI producing discriminatory outcomes unintentionally,Bias in how researchers interpret AI data,2,,"Artificial intelligence is transforming numerous industries, from healthcare to finance. In medicine, AI algorithms can now analyze medical images with accuracy comparable to experienced radiologists, enabling earlier and more precise diagnoses of conditions such as cancer and heart disease. In the financial sector, AI-powered systems detect fraudulent transactions in real time by identifying unusual patterns in millions of data points simultaneously. Despite these advancements, concerns persist about ethical issues — particularly algorithmic bias, where AI systems may produce outcomes that inadvertently discriminate against certain groups. Experts emphasize that responsible AI development must involve transparency, diverse training data, and rigorous human oversight to ensure that these powerful tools benefit all of society equitably.",medium
R014,reading,What do experts suggest is needed for responsible AI development?,Faster computing systems and lower costs,"Transparency, diverse data, and human oversight",Restricting AI to government use only,Giving AI systems full autonomy,1,,"Artificial intelligence is transforming numerous industries, from healthcare to finance. In medicine, AI algorithms can now analyze medical images with accuracy comparable to experienced radiologists, enabling earlier and more precise diagnoses of conditions such as cancer and heart disease. In the financial sector, AI-powered systems detect fraudulent transactions in real time by identifying unusual patterns in millions of data points simultaneously. Despite these advancements, concerns persist about ethical issues — particularly algorithmic bias, where AI systems may produce outcomes that inadvertently discriminate against certain groups. Experts emphasize that responsible AI development must involve transparency, diverse training data, and rigorous human oversight to ensure that these powerful tools benefit all of society equitably.",medium
R015,reading,The word 'inadvertently' in the passage most nearly means:,Deliberately,Accidentally,Frequently,Severely,1,,"Artificial intelligence is transforming numerous industries, from healthcare to finance. In medicine, AI algorithms can now analyze medical images with accuracy comparable to experienced radiologists, enabling earlier and more precise diagnoses of conditions such as cancer and heart disease. In the financial sector, AI-powered systems detect fraudulent transactions in real time by identifying unusual patterns in millions of data points simultaneously. Despite these advancements, concerns persist about ethical issues — particularly algorithmic bias, where AI systems may produce outcomes that inadvertently discriminate against certain groups. Experts emphasize that responsible AI development must involve transparency, diverse training data, and rigorous human oversight to ensure that these powerful tools benefit all of society equitably.",medium
R016,reading,What is the main argument of the passage?,People should work fewer hours,Sleep is critically important for health and well-being,Modern society is obsessed with productivity,Scientists have discovered new sleep disorders,1,,"Sleep is far more than a period of rest. During sleep, the brain undergoes critical processes that are essential for learning, memory consolidation, and emotional regulation. Research shows that people who consistently sleep fewer than seven hours per night are at significantly higher risk for chronic conditions such as obesity, diabetes, cardiovascular disease, and depression. Despite this, modern society often treats sleep deprivation as a badge of honor, with productivity culture glorifying long working hours at the expense of adequate rest. Sleep scientists advocate for a shift in cultural attitudes, arguing that prioritizing sleep is not a sign of laziness but rather a fundamental investment in one's long-term health, cognitive performance, and overall well-being.",medium
